u_id,u_pre_req_id
cs222,cs101
cs222,ph100
cs222,ud036
cs253,cs101
cs253,ud036
cs271,st101
cs313,cs101
cs313,cs215
cs373,cs101
ud009,ud009
ud015,ud804
ud120,cs101
ud120,ud201
ud120,ud359
ud120,ud775
ud120,ud827
ud170,cs101
ud170,ud036
ud197,ud036
ud197,ud775
ud201,ud827
ud245,ud304
ud245,ud804
ud257,ud201
ud257,ud827
ud262,cs101
ud262,cs271
ud262,st101
ud292,ud304
ud292,ud804
ud299,ud036
ud299,ud197
ud325,ud421
ud325,ud585
ud325,ud775
ud325,ud788
ud330,ud088
ud330,ud110
ud330,ud304
ud330,ud804
ud359,cs101
ud359,ud201
ud359,ud827
ud381,cs046
ud388,ud088
ud388,ud330
ud405,cs046
ud421,ud585
ud421,ud775
ud421,ud788
ud436,cs101
ud507,cs101
ud507,ud036
ud507,ud304
ud507,ud804
ud518,ud509
ud549,ud015
ud549,ud804
ud585,cs101
ud585,ud036
ud595,ud299
ud600,cs046
ud607,ud325
ud607,ud421
ud607,ud788
ud617,cs101
ud651,ud201
ud651,ud827
ud719,ud509
ud719,ud723
ud723,ud509
ud775,ud595
ud775,ud775
ud788,ud902
ud802,ud837
ud804,cs101
ud804,ud036
ud805,ud853
ud825,ud775
ud825,ud853
ud853,cs046
ud853,ud837
ud855,ud775
ud855,ud853
ud860,ud884
ud862,ud775
ud862,ud853
ud862,ud855
ud867,ud775
ud867,ud853
ud867,ud855
ud875A,ud775
ud875A,ud853
ud875B,ud775
ud875B,ud853
ud875C,ud775
ud875C,ud853
ud875C,ud855
ud876-1,ud775
ud876-1,ud853
ud876-1,ud855
ud876-2,ud775
ud876-2,ud853
ud876-2,ud855
ud876-3,ud853
ud876-3,ud855
ud876-4,ud775
ud876-4,ud853
ud876-4,ud855
ud876-5,ud775
ud876-5,ud853
ud876-5,ud855
ud890,ud015
ud890,ud304
ud890,ud804
ud892,ud804
ud893,ud304
ud990,ud989
